,Question Asked,Agency
8051,hi I would like to check my tax payment,IRAS IIT
8052,Can we store salmon sashimi in room temperature for 4 hours,AVA
8053,How long does it take to receive the resistration mark,LTA
8054,Hi Jamie I am an Irish Citizen in the process of applying to the Australian Government for Citizenship I have travelled to Singapore many times in the past 11 years,SPF
8055,role to select in corppass portal to log into SCN portal,SSG
8056,ive just left my purse in a GRAB car today How do I make a police report,SPF
8057,I cant view the payment due,IRAS IIT
8058,May I know car number SFU132X iu number,LTA
8059,How to change from partnership to Private limited,ACRA
8060,check the validity of my rep,ICA
8061,hi Im Malaysian and my husband is singapore citizen I wanted to apply PR however we register our marriage at Hong Kong do I need to register at SG first before apply,ICA
8062,How long will it take to receive the COC after being issued,SPF
8063,Twins,MOE
8064,Must both parents be present during P1 registration,MOE
8065,Contact MOE Kindergarten,MOE
8066,can a registrable controller be a company,ACRA
8067,Hello im trying to put a plan together to save lta 15 million dollars in the re sleeper of the depots,LTA
8068,I have singapore tourist visa validity till july 27 last june 29th I back to india now can I use same visa to enter again Singapore,ICA
8069,HIWHY I CANT REGISTER ONLINE FOR P1,MOE
8070,How do i find out my road tax renewal information,LTA
8071,i am registering my escooter now but my residential address is not correct,LTA
8072,How can I send an email to IRAS without singpass,IRAS IIT
8073,packaging of coffee bean,AVA
8074,What is the application of license to be for selling foods at home,AVA
8075,how do I apply for a security officers license,SPF
8076,i am applying PR application online while uploading documents its showing transcripted and translated documents to upload,ICA
8077,speak to someone About IRAS,IRAS IIT
8078,Can the director and shareholder be the same person,ACRA
8079,Is it i will be charge if absent from rt training session,MINDEF
8080,I need to change my adress,IRAS IIT
8081,Hi Jamie I want to lodge the GST return as it is due today and its my first time using this service so I wanted to see how that can be done,IRAS GST
8082,Im trying to renew my COE online,LTA
8083,Hi how do I check the reentry permit issue date and expiry date,ICA
8084,When must a company hold its Annual General Meetings and file its Annual Return What are the necessary filing requirements Click after 31 Aug 2018,ACRA
8085,i have ir8a form,IRAS IIT
8086,where your scrapyard,LTA
8087,can i log in to ICA and retrieve my past ICA records like entry and exit dates,ICA
8088,I file already just lost the print page details,IRAS GST
8089,parents going thru divorce can register son for p1,MOE
8090,how to activate custom permit,ACRA
8091,Can a Singaporean drive foreign registered vehicle in Singapore roads,LTA
8092,How to find out driving license is valid,SPF
8093,Hi i did not received NRIC letter change at age 31 please advise,ICA
8094,How do I know when is my ippt charge,MINDEF
8095,extention of visit visa,ICA
8096,How much does it cost for passport renewal,ICA
8097,do I need to declare individual tax after I declare company tax,IRAS IIT
8098,help to reduce the file size of my passport photo,ICA
8099,Where can I find the view profile to click,LTA
8100,If I have started the application process online can i still use my current passport,ICA
8101,Im submitting the NS make up pay,MINDEF
8102,manning codeword,MINDEF
8103,How do I let LTA know that I would like to continue receiving my hard copy letters I am now 76 years old and have difficulty using the computer,LTA
8104,Emart pls,MINDEF
8105,How to update Long term visit pass passport number,ICA
8106,the thing is i dont even know what unit im posted to,MINDEF
8107,How can i swap car vrn,LTA
8108,How to pay fine using online,LTA
8109,What is gst f9,IRAS GST
8110,Can i reschedule my medical checkup,MINDEF
8111,Do i have to apply licenses for fun fair,AVA
8112,do i need to deregister my old PMD,LTA
8113,where can i apply for llc,ACRA
8114,do I need to deregister the IU before transfer it to new owner,LTA
8115,I deliver the goods to my customers appointed overseas freight forwarderhandling agent for export by my customer Do I have to charge my customer GST,IRAS GST
8116,What is the validity period of the STVP,ICA
8117,hi regarding the bizfile information,ACRA
8118,how to change alternate address for directgor,ACRA
8119,Any subsidies from LTA program?,LTA
8120,i forgotten to pay income tax for 2 months,IRAS IIT
8121,What the operating hour on sat,MOE
8122,wherer can i find the company information page of ACRA thank you,ACRA
8123,Login to DSA portal,MOE
8124,I didnt get any tax statement yet,IRAS IIT
8125,how to appeal for the LTAfine,LTA
8126,how to find age of my car,LTA
8127,how to print my hygiene certificate,SSG
8128,Is there a number i can call to ask more about eligibility for PSG SFTS,SSG
8129,Missed to pay the first installment and now we received the letter to pay the amount in full,IRAS IIT
8130,how do i lay up if the vehicle has parf rebate,LTA
8131,My reg. On 2007 . Just to check when I can use ææ—©å‰Žè½¦è®¡åˆ’ä¸‹ã€‚Early turnover scheme,LTA
8132,If my kid has dyslexia where can I bring him to,MOE
8133,I have query on Completing GST Form 5 under Box 5 Total Value of Taxable Purchases,IRAS GST
8134,I want to apply for a tourist visa for myself,ICA
8135,how to import sugar confectionary to singapore,AVA
8136,my balance im off.,MOE
8137,am i eligible for ippt,MINDEF
8138,Are grants from AIC taxable,IRAS IIT
8139,how to print out my lorry detail,LTA
8140,For make up pay,MINDEF
8141,Whats the traffic offence fine for running over traffic I lights,SPF
8142,What are the registration procedures for Primary One,MOE
8143,Where should I go to Make a police report on a businesss investment scam CAD,SPF
8144,Can I call the police about a noisy neighbour,SPF
8145,I want to register a music school,ACRA
8146,Hi im reregistering my IC If my photo is rejected do I need to pay another 10,ICA
8147,Hello I have been authorized as a user recently May I know if user can lodge a transaction such as changes of company secretary Or only admin can lodge any changes T,ACRA
8148,book appointment for long term visit pass,ICA
8149,P1 ballot history 2018,MOE
8150,Reschedule collection of IC,ICA
8151,When is my pay in,MINDEF
8152,transfer business as a going concern,IRAS GST
8153,Hi Jamie i attended and took the IPT IPPT Yesterday evening at Khatib FCC however it was still not reflected please kindly check,MINDEF
8154,I would like to book a basic Theory test online please,SPF
8155,Dear JamieMy Motorcycle COE already expired on 31 Aug 2019 my bike having and engine problem since last week when I planned to send it for Scrap Can please advise me,LTA
8156,IN VEHICLE UNIT TRANSFER,LTA
8157,Hi there I currently hold an LTVP but Ive recently renewed my passport so cannot get through the egates at the airport anymore How do I fix this,ICA
8158,individual noa,IRAS IIT
8159,I registered my scooter already but I haven recieve the lta registration mark,LTA
8160,I got my new VRN on 25 Jan and I dont like the number Can i request to change it,LTA
8161,P1 registration for foreigner MOE Kindergarten,MOE
8162,How do you inform me when to pay tax,IRAS IIT
8163,May i apply for more than 1 primary school,MOE
8164,can i apply online for singapore visa,ICA
8165,i have submitted a wrong claim. how can i edit the claim or withdraw it from my companys training organization profile?,SSG
8166,how renew a business,ACRA
8167,how to changed my address,ACRA
8168,check carplate,LTA
8169,where do i go to get my car registration details,LTA
8170,how can download food supplementary form,AVA
8171,do i need a license to be security guard,SPF
8172,Hi I am not able to click on your hyperlink,MINDEF
8173,How make police report for missed ezLink card,SPF
8174,Is an eday licence required for the eve of chinese new year,LTA
8175,I need to renew my Mother LTVP What is the procedure,ICA
8176,Good Evening like to check what is the minimum income is exempted to file income tax,IRAS IIT
8177,FOR INTEREST,IRAS IIT
8178,till what age child relief is applicable,IRAS IIT
8179,When can I renew long term visit pass,ICA
8180,where can i find my driving history,SPF
8181,Then I joined my current company on 5th Nov 2018 After I reported the tax the IRAS system mentioned that the tax is zero,IRAS IIT
8182,when can i get my full cert,SSG
8183,Hi I like to check can go overseas during ict Sat and Sunday,MINDEF
8184,does mcf work the same like career matching services?,SSG
8185,Hi my company is engaging an illustrator based in Australia ie providing a marketing service Does the GST apply to us,IRAS GST
8186,need to send my NOR application,IRAS IIT
8187,ow to search for Non-WSQ training organization profile which was created and saved,SSG
8188,How do I report a spam call,SPF
8189,Payment using credit card,IRAS IIT
8190,is there anybody i can speak to,MINDEF
8191,Can i know what is maximum residue level reading for chlorfenap in imported vegetables,AVA
8192,What is ED card number,ICA
8193,Hi may i know how can I check has my skillfuture credit already been used or still availabe,SSG
8194,do i mail or fax over the make up pay claim form,MINDEF
8195,my visa application for my sibling is rejected,ICA
8196,Ive got insurance but it states insufficient insurance to renew,LTA
8197,need to check my income taax,IRAS IIT
8198,mailing department,ICA
8199,Can I have a soft copy of the coc,SPF
8200,Wsq course kaplan,SSG
8201,I could not find Outstanding Traffice Offence,SPF
